NumProc,SizePerProc,Run,ElapsedTimeSec,Speedup,Efficiency,WeakEfficiency
1,24,1,21.74,1,1,1
1,24,2,21.66,1.003,1.003,1.003
1,24,3,21.79,.997,.997,.997
8,24,1,47.92,.453,.056,.453
8,24,2,48.01,.452,.056,.452
8,24,3,47.92,.453,.056,.453
27,24,1,87.50,.248,.009,.248
27,24,2,87.48,.248,.009,.248
27,24,3,87.49,.248,.009,.248
